// Auto generated mapfile				
//				
//   legend				
//   col - 0 based column from left to right				
//   row - 0 based row from bottom to top				
//   bank - bank name - values can be A B C or D				
//   elec - 1 based electrode number within the bank - values can be 1-32				
//   label - label used to rename channels in Central (optional)				
//				
// Comments begin with //				
// First non-comment line is the Mapfile description				
//				
Cerebus mapping for array 1049-29, 1049-30    SN: 4566-002318				
//
col	row	bank	elec	label
21	3	E	27	elec1-42
21	2	E	29	elec1-41
21	1	E	31	elec1-40
21	0	E	18	elec1-39
22	9	E	22	elec1-38
22	8	E	24	elec1-37
22	7	E	26	elec1-36
22	6	E	28	elec1-35
22	5	E	30	elec1-34
22	4	E	32	elec1-33
22	3	H	1	elec1-32
22	2	H	3	elec1-31
22	1	H	2	elec1-30
22	0	H	4	elec1-29
23	9	H	5	elec1-28
23	8	H	6	elec1-27
23	7	H	7	elec1-26
23	6	H	8	elec1-25
23	5	H	9	elec1-24
23	4	H	10	elec1-23
23	3	H	11	elec1-22
23	2	H	12	elec1-21
23	1	H	13	elec1-20
23	0	H	14	elec1-19
24	9	H	15	elec1-18
24	8	H	17	elec1-17
24	7	H	16	elec1-16
24	6	H	19	elec1-15
24	5	H	21	elec1-14
24	4	H	23	elec1-13
24	3	H	25	elec1-12
24	2	H	27	elec1-11
24	1	H	29	elec1-10
24	0	H	31	elec1-9
25	8	H	32	elec1-8
25	7	H	18	elec1-7
25	6	H	20	elec1-6
25	5	H	22	elec1-5
25	4	H	24	elec1-4
25	3	H	26	elec1-3
25	2	H	28	elec1-2
25	1	H	30	elec1-1
